,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
980,200010051,2129 NW LAKE ROCKAWAY RD,6/25/18,2018,6,2018-6,154900,1987,1790,86.53631285,33.7009037,-84.055004,13247060201,North Rockdale,POINT (-84.055004 33.7009037)
990,038A010003,2516 NW PACES LANDING DR,6/22/18,2018,6,2018-6,147000,1972,1693,86.82811577,33.7107637,-84.0519076,13247060201,North Rockdale,POINT (-84.0519076 33.7107637)
1022,190030014,2617 NW LAKE CAPRI DR,6/11/18,2018,6,2018-6,129900,1976,1810,71.7679558,33.7151982,-84.0527333,13247060201,North Rockdale,POINT (-84.0527333 33.7151982)
1042,190010003,2561 NW AMALFI DR,5/31/18,2018,5,2018-5,226000,1964,2741,82.45165998,33.7171342,-84.0513709,13247060201,North Rockdale,POINT (-84.0513709 33.7171342)
1140,038A010009,2570 NW PACES LANDING DR,5/1/18,2018,5,2018-5,100000,1972,1686,59.31198102,33.712053,-84.050669,13247060201,North Rockdale,POINT (-84.050669 33.712053)
1274,190070019,2541 NW CASABLANCA DR,3/19/18,2018,3,2018-3,94900,1966,1978,47.97775531,33.7112221,-84.062352,13247060201,North Rockdale,POINT (-84.062352 33.7112221)
1356,180020035,3030 NW BARCELONA WAY,2/6/18,2018,2,2018-2,103000,1972,1715,60.05830904,33.7246049,-84.0556232,13247060201,North Rockdale,POINT (-84.0556232 33.7246049)
1418,380010012,2550 NW FARMER RD,11/22/22,2022,11,2022-11,140000,1930,1364,102.6392962,33.7021223,-84.027007,13247060201,North Rockdale,POINT (-84.027007 33.7021223)
1426,180020022,2902 NW BARCELONA WAY,11/28/22,2022,11,2022-11,207000,1973,2510,82.47011952,33.7212846,-84.0571507,13247060201,North Rockdale,POINT (-84.0571507 33.7212846)
1428,038A010108,2780 NW WESTMINISTER LN,10/7/22,2022,10,2022-10,195000,1977,1575,123.8095238,33.7157567,-84.0471595,13247060201,North Rockdale,POINT (-84.0471595 33.7157567)
